,date,usage
90215,2019-07-01,0.225
138174,2019-12-22,0.225
138876,2019-12-30,0.05
139386,2020-01-03,0.225
139909,2020-01-13,0.0
140395,2020-01-23,0.525
140897,2020-01-27,0.775
326241,2021-11-11,0.1
328660,2021-11-21,0.025
330988,2021-12-01,0.15
340191,2018-08-01,0.55
430406,2019-07-01,0.55
478499,2019-12-22,0.375
479203,2019-12-30,0.075
479739,2020-01-03,0.2
480263,2020-01-13,0.1
480750,2020-01-23,0.9
481259,2020-01-27,0.6
668031,2021-11-11,0.375
670452,2021-11-21,0.65
672781,2021-12-01,0.475
681984,2018-08-01,0.4
772199,2019-07-01,0.55
820324,2019-12-22,0.325
821027,2019-12-30,0.075
821561,2020-01-03,0.125
822084,2020-01-13,0.025
822570,2020-01-23,0.7
823072,2020-01-27,0.125
1008888,2021-11-11,0.025
1011307,2021-11-21,0.4
1013635,2021-12-01,0.35
1022838,2018-08-01,0.025
1113053,2019-07-01,0.375
1161210,2019-12-22,0.7
1161914,2019-12-30,0.1
1162448,2020-01-03,0.1
1162972,2020-01-13,0.2
1163459,2020-01-23,0.275
1163964,2020-01-27,0.225
1350158,2021-11-11,0.225
1352577,2021-11-21,0.225
1354905,2021-12-01,0.05
1364108,2018-08-01,0.15
1454323,2019-07-01,0.1
1502265,2019-12-22,0.2
1502969,2019-12-30,0.1
1503491,2020-01-03,0.4
1504016,2020-01-13,0.1
1504503,2020-01-23,0.35
1505014,2020-01-27,0.45
1691748,2021-11-11,0.05
1694169,2021-11-21,0.15
1696498,2021-12-01,0.15
1705701,2018-08-01,0.28125
1795916,2019-07-01,0.15625
1843915,2019-12-22,0.09375
1844619,2019-12-30,0.3125
1845139,2020-01-03,0.59375
1845664,2020-01-13,0.3125
1846151,2020-01-23,0.0625
1846660,2020-01-27,0.15625
2033380,2021-11-11,0.59375
2035801,2021-11-21,0.3125
2038130,2021-12-01,0.09375
